fraud_reported,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,months_as_customer,insured_zip,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
N,100804,2/24/2012,IL,100/300,1000,1459.96,6000000,172,600127,33,FEMALE,High School,adm-clerical,reading,41300,-42000,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Northbend,8214 Flute St,15,3,NO,0,1,NO,41690,7580,7580,26530,Saab,95,1999
N,101421,10/19/1999,IL,250/500,1000,1022.46,0,91,444896,26,FEMALE,Associate,armed-forces,video-games,52700,0,2/23/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Arlington,8832 Pine Drive,15,3,UNKNOWN,0,2,UNKNOWN,74200,7420,7420,59360,Jeep,Wrangler,1996
Y,104594,10/12/2006,OH,250/500,1000,1351.1,0,256,478456,39,FEMALE,PhD,tech-support,bungie-jumping,0,0,1/2/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003
N,106186,12/2/2011,IL,500/1000,1000,1389.86,0,75,472475,25,FEMALE,Associate,priv-house-serv,hiking,0,0,1/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,5985 Lincoln Lane,23,2,UNKNOWN,2,3,YES,65100,6510,6510,52080,Saab,93,2011
N,106873,8/28/1998,IL,500/1000,1000,894.4,0,159,446435,37,MALE,Associate,tech-support,camping,0,-53700,1/7/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,2337 Lincoln Hwy,13,1,YES,2,0,NO,70290,7810,7810,54670,Dodge,RAM,1999
Y,107181,11/14/1999,IN,250/500,500,942.51,0,152,478981,33,FEMALE,PhD,transport-moving,exercise,0,0,1/30/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,3903 Oak Ave,16,1,YES,0,0,UNKNOWN,70400,6400,19200,44800,Suburu,Legacy,2001
N,108270,8/9/2002,OH,100/300,500,1446.98,0,32,436560,29,MALE,MD,adm-clerical,sleeping,0,-45700,2/11/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,9236 2nd Hwy,11,3,YES,2,0,NO,57970,10540,5270,42160,Saab,93,2006
N,108844,12/5/2007,IL,100/300,2000,1081.08,0,269,468104,44,MALE,JD,priv-house-serv,reading,36400,-28700,2/14/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,UNKNOWN,56400,11280,11280,33840,Toyota,Highlander,2014
N,109392,7/12/2006,OH,100/300,1000,1280.88,0,257,433981,44,MALE,MD,other-service,basketball,59400,-32200,2/6/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,5312 Francis Ridge,21,1,NO,0,1,NO,46980,0,5220,41760,Accura,TL,2002
Y,110084,11/27/1990,IL,250/500,1000,1358.03,0,16,612660,35,MALE,JD,sales,chess,59300,-31400,2/17/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,8704 Britain Lane,0,1,NO,2,1,UNKNOWN,55000,10000,10000,35000,Volkswagen,Jetta,2008
N,110122,4/2/2002,IN,250/500,2000,1206.26,0,421,459955,57,FEMALE,Associate,armed-forces,bungie-jumping,69900,0,1/31/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,Arlington,7552 3rd St,22,3,YES,0,0,NO,78500,15700,7850,54950,Audi,A3,2015
N,110143,5/7/1990,OH,100/300,2000,1609.11,0,106,601177,28,MALE,High School,craft-repair,polo,0,0,1/18/2015,Vehicle Theft,NA,Minor Damage,Police,WV,Hillsdale,9573 2nd Ave,8,1,YES,2,1,YES,5490,0,1220,4270,Saab,95,1999
N,110408,11/14/2005,IN,100/300,1000,1028.44,0,342,602304,53,FEMALE,College,prof-specialty,dancing,0,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,8618 Texas Lane,12,1,UNKNOWN,0,0,NO,80960,14720,7360,58880,Accura,MDX,2000
N,111874,7/5/2000,IL,500/1000,1000,1464.42,0,143,468986,32,FEMALE,High School,exec-managerial,golf,79900,0,1/15/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Springfield,3288 Tree Lane,1,1,UNKNOWN,2,0,NO,62260,5660,5660,50940,Saab,92x,1995
N,113464,4/19/2009,IN,500/1000,2000,1005.47,0,180,441871,33,FEMALE,JD,protective-serv,hiking,58100,-49000,2/15/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,6435 Texas Ave,12,4,UNKNOWN,2,3,YES,57700,11540,5770,40390,Jeep,Grand Cherokee,2002
